Feature Selection,Number of Features,Best AUC,Best Model
t-test,20,0.892786075712905,KNN
t-test,30,0.8878909708178,KNN
t-test,40,0.9002119831388125,KNN
t-test,50,0.8974318364562267,KNN
t-test,60,0.8995297385541287,KNN
t-test,70,0.9023679572460062,KNN
t-test,100,0.9263009348375203,KNN
t-test,200,0.9081771886649935,KNN
t-test,500,0.9168518473396523,KNN
ks test,20,0.8791005742225254,KNN
ks test,30,0.8968730456535334,KNN
ks test,40,0.8883823493579591,KNN
ks test,50,0.906512999195926,KNN
ks test,60,0.9181757267123121,KNN
ks test,70,0.9140960665350908,KNN
ks test,100,0.9178346044199703,KNN
ks test,200,0.9122401988255648,KNN
ks test,500,0.915719646207451,KNN
gmm test,20,0.8801072910829009,KNN
gmm test,30,0.8725989457696774,KNN
gmm test,40,0.8644396254152351,KNN
gmm test,50,0.8744885196104708,KNN
gmm test,60,0.8945428555184651,KNN
gmm test,70,0.8994209042989529,KNN
gmm test,100,0.8788922459654167,KNN
gmm test,200,0.9063217270534343,KNN
gmm test,500,0.9111997758339221,KNN
FNN,20,0.8434122787781323,KNN
FNN,30,0.8724072675292188,KNN
FNN,40,0.9098348805665879,KNN
FNN,50,0.9188746213136456,KNN
FNN,60,0.9139965725331578,KNN
FNN,70,0.9201400225790468,KNN
FNN,100,0.9224291968194407,KNN
FNN,200,0.9147023707999319,MeanEnsemble
FNN,500,0.9360399762838789,KNN
