Model,Number of Features,Best AUC,Feature Selection Method
KNN,20,0.892786075712905,t-test
MeanEnsemble,20,0.8385476312305581,t-test
RandomForest,20,0.8575660112245478,t-test
KNN,30,0.8878909708178,t-test
MeanEnsemble,30,0.8263013409354872,t-test
RandomForest,30,0.842747902504,t-test
KNN,40,0.9002119831388125,t-test
MeanEnsemble,40,0.8254688401029865,t-test
RandomForest,40,0.8560512658073633,t-test
KNN,50,0.8974318364562267,t-test
MeanEnsemble,50,0.8282660429001891,t-test
RandomForest,50,0.8588484686045661,t-test
KNN,60,0.8995297385541287,t-test
MeanEnsemble,60,0.8233879941197013,t-test
RandomForest,60,0.8626860943934116,t-test
KNN,70,0.9023679572460062,t-test
MeanEnsemble,70,0.8247695394036857,t-test
RandomForest,70,0.8584492743029329,t-test
KNN,100,0.9263009348375203,t-test
MeanEnsemble,100,0.817094287825995,t-test
RandomForest,100,0.856242537949855,t-test
KNN,200,0.9081771886649935,t-test
MeanEnsemble,200,0.8087607514436783,t-test
RandomForest,200,0.8576992113577481,t-test
KNN,500,0.9168518473396523,t-test
MeanEnsemble,500,0.802692429521698,t-test
RandomForest,500,0.8384193042729627,t-test
KNN,20,0.8791005742225254,ks test
MeanEnsemble,20,0.8380672173355099,ks test
RandomForest,20,0.8403088781137562,ks test
KNN,30,0.8968730456535334,ks test
MeanEnsemble,30,0.8529775102945834,ks test
RandomForest,30,0.85268796244406,ks test
KNN,40,0.8883823493579591,ks test
MeanEnsemble,40,0.8497644631790973,ks test
RandomForest,40,0.8610625147210513,ks test
KNN,50,0.906512999195926,ks test
MeanEnsemble,50,0.8640574872282188,ks test
RandomForest,50,0.8473018851067632,ks test
KNN,60,0.9181757267123121,ks test
MeanEnsemble,60,0.8603360054579566,ks test
RandomForest,60,0.8504982822055993,ks test
KNN,70,0.9140960665350908,ks test
MeanEnsemble,70,0.8573475305182623,ks test
RandomForest,70,0.8455621614158201,ks test
KNN,100,0.9178346044199703,ks test
MeanEnsemble,100,0.8500475134621475,ks test
RandomForest,100,0.8542197639758615,ks test
KNN,200,0.9122401988255648,ks test
MeanEnsemble,200,0.8263638800224167,ks test
RandomForest,200,0.8440474159986355,ks test
KNN,500,0.915719646207451,ks test
MeanEnsemble,500,0.8064017283529479,ks test
RandomForest,500,0.8443377760450931,ks test
KNN,20,0.8801072910829009,gmm test
MeanEnsemble,20,0.8328480462626804,gmm test
RandomForest,20,0.8410081788130569,gmm test
KNN,30,0.8725989457696774,gmm test
MeanEnsemble,30,0.859687060906573,gmm test
RandomForest,30,0.8413082852107241,gmm test
KNN,40,0.8644396254152351,gmm test
MeanEnsemble,40,0.8516536309219237,gmm test
RandomForest,40,0.848168092070531,gmm test
KNN,50,0.8744885196104708,gmm test
MeanEnsemble,50,0.8531103043298165,gmm test
RandomForest,50,0.8558262875336047,gmm test
KNN,60,0.8945428555184651,gmm test
MeanEnsemble,60,0.8548500280207598,gmm test
RandomForest,60,0.8556013092598459,gmm test
KNN,70,0.8994209042989529,gmm test
MeanEnsemble,70,0.8518449030644153,gmm test
RandomForest,70,0.8451459109995696,gmm test
KNN,100,0.8788922459654167,gmm test
MeanEnsemble,100,0.84519301836375,gmm test
RandomForest,100,0.8536873695410281,gmm test
KNN,200,0.9063217270534343,gmm test
MeanEnsemble,200,0.8289011801206924,gmm test
RandomForest,200,0.8383612322636713,gmm test
KNN,500,0.9111997758339221,gmm test
MeanEnsemble,500,0.823231646402378,gmm test
RandomForest,500,0.8376038595550792,gmm test
KNN,20,0.8434122787781323,FNN
MeanEnsemble,20,0.8018193188924897,FNN
RandomForest,20,0.7799891165744824,FNN
KNN,30,0.8724072675292188,FNN
MeanEnsemble,30,0.822712653200458,FNN
RandomForest,30,0.7898540483906338,FNN
KNN,40,0.9098348805665879,FNN
MeanEnsemble,40,0.8466728393557661,FNN
RandomForest,40,0.8090929395807445,FNN
KNN,50,0.9188746213136456,FNN
MeanEnsemble,50,0.8507013311891362,FNN
RandomForest,50,0.8067700592090837,FNN
KNN,60,0.9139965725331578,FNN
MeanEnsemble,60,0.8476040219942659,FNN
RandomForest,60,0.7942918869748139,FNN
KNN,70,0.9201400225790468,FNN
MeanEnsemble,70,0.8692823436725876,FNN
RandomForest,70,0.8037576244893317,FNN
KNN,100,0.9224291968194407,FNN
MeanEnsemble,100,0.8936076119002948,FNN
RandomForest,100,0.8221132526010575,FNN
KNN,200,0.9132562559391829,FNN
MeanEnsemble,200,0.9147023707999319,FNN
RandomForest,200,0.8326847948799168,FNN
KNN,500,0.9360399762838789,FNN
MeanEnsemble,500,0.9286713286713286,FNN
RandomForest,500,0.8227617910544739,FNN
