Model,Number of Features,Best F1,Best AUC,Best Accuracy,Best TPR,Feature Selection Method
KNN,20,0.8129678608302783,0.892786075712905,0.9110634547591069,0.859698025551684,t-test
MeanEnsemble,20,0.6805553630886524,0.8385476312305581,0.8134841363102232,0.884088269454123,t-test
RandomForest,20,0.8116026676026677,0.8575660112245478,0.9229788484136311,0.7389082462253194,t-test
KNN,30,0.8002897795169863,0.8878909708178,0.9034782608695652,0.859698025551684,t-test
MeanEnsemble,30,0.6579687949946333,0.8263013409354872,0.7918037602820212,0.8889663182346108,t-test
RandomForest,30,0.7867452983600026,0.842747902504,0.9132432432432432,0.7148664343786295,t-test
KNN,40,0.8177843359776802,0.9002119831388125,0.9121034077555816,0.8787456445993032,t-test
MeanEnsemble,40,0.6531248782388467,0.8254688401029865,0.7852878965922444,0.8984901277584205,t-test
RandomForest,40,0.8063679063679065,0.8560512658073633,0.9208108108108108,0.7386759581881532,t-test
KNN,50,0.8172153107687894,0.8974318364562267,0.9132079905992949,0.8689895470383275,t-test
MeanEnsemble,50,0.6578439827982748,0.8282660429001891,0.7896298472385429,0.8984901277584203,t-test
RandomForest,50,0.8134607972794257,0.8588484686045661,0.9251527614571093,0.7386759581881532,t-test
KNN,60,0.8228136561923733,0.8995297385541287,0.9164688601645123,0.8689895470383275,t-test
MeanEnsemble,60,0.6530150542987819,0.8233879941197013,0.7874324324324324,0.8887340301974449,t-test
RandomForest,60,0.8215868768912247,0.8626860943934116,0.9283960047003526,0.743554006968641,t-test
KNN,70,0.8228137726399481,0.9023679572460062,0.9153877790834313,0.8788617886178862,t-test
MeanEnsemble,70,0.6517572216766314,0.8247695394036857,0.784171562867215,0.8984901277584203,t-test
RandomForest,70,0.8170766532351562,0.8584492743029329,0.9273031727379554,0.7336817653890824,t-test
KNN,100,0.8535685365873211,0.9263009348375203,0.9284371327849588,0.9225319396051104,t-test
MeanEnsemble,100,0.6423038912846554,0.817094287825995,0.7776674500587545,0.8887340301974447,t-test
RandomForest,100,0.8153197864868345,0.856242537949855,0.9262455934195065,0.7292682926829268,t-test
KNN,200,0.8073383852372855,0.9081771886649935,0.90024089306698,0.9226480836236934,t-test
MeanEnsemble,200,0.6300914760427488,0.8087607514436783,0.7646709753231492,0.8888501742160277,t-test
RandomForest,200,0.8203299315237738,0.8576992113577481,0.9284195064629847,0.7293844367015099,t-test
KNN,500,0.8249818137251026,0.9168518473396523,0.9110810810810811,0.9274099883855982,t-test
MeanEnsemble,500,0.6283328444930596,0.802692429521698,0.7711750881316098,0.8599303135888501,t-test
RandomForest,500,0.7940596046557845,0.8384193042729627,0.9197414806110459,0.6908246225319397,t-test
KNN,20,0.805177903790074,0.8791005742225254,0.9110810810810811,0.8211382113821137,ks test
MeanEnsemble,20,0.722410380317357,0.8380672173355099,0.8633666274970622,0.7922183507549361,ks test
RandomForest,20,0.7831904761904762,0.8403088781137562,0.912150411280846,0.7099883855981417,ks test
KNN,30,0.8272644454948038,0.8968730456535334,0.91975910693302,0.8552845528455284,ks test
MeanEnsemble,30,0.7552424606935433,0.8529775102945834,0.8839659224441834,0.7968641114982578,ks test
RandomForest,30,0.8048054989150879,0.85268796244406,0.9208108108108108,0.7291521486643437,ks test
KNN,40,0.8121454601501117,0.8883823493579591,0.9121504112808461,0.8452961672473867,ks test
MeanEnsemble,40,0.7665019674658229,0.8497644631790973,0.8948178613396005,0.7680603948896632,ks test
RandomForest,40,0.8224483592904646,0.8610625147210513,0.9284136310223268,0.7389082462253194,ks test
KNN,50,0.8383769678114661,0.906512999195926,0.9240951821386604,0.8745644599303135,ks test
MeanEnsemble,50,0.787183090408651,0.8640574872282188,0.9035017626321974,0.7924506387921021,ks test
RandomForest,50,0.804846210183497,0.8473018851067632,0.9229788484136311,0.7099883855981417,ks test
KNN,60,0.8471375607877125,0.9181757267123121,0.9262749706227966,0.9034843205574912,ks test
MeanEnsemble,60,0.7801010182859305,0.8603360054579566,0.9002467685076381,0.7878048780487804,ks test
RandomForest,60,0.8104305283757338,0.8504982822055993,0.9251703877790834,0.7149825783972125,ks test
KNN,70,0.8358829163849448,0.9140960665350908,0.919764982373678,0.9037166085946573,ks test
MeanEnsemble,70,0.7659264479419519,0.8573475305182623,0.8904759106933019,0.797212543554007,ks test
RandomForest,70,0.8043015891924332,0.8455621614158201,0.9229905992949472,0.7051103368176539,ks test
